algorithm,cities,best_length,runtime
Hill Climbing,10,290.3067737918129,0.0012227909173816442
Hill Climbing,10,290.3067737918129,0.001600167015567422
Hill Climbing,10,290.3067737918128,0.0012826670426875353
Hill Climbing,10,290.3067737918128,0.0012152499984949827
Hill Climbing,10,290.3067737918128,0.0011209170334041119
Hill Climbing,10,290.3067737918129,0.0010071250144392252
Hill Climbing,10,290.3067737918128,0.0015291250310838223
Hill Climbing,10,338.5548967143026,0.0016730409115552902
Hill Climbing,10,338.55489671430246,0.0018875830573961139
Hill Climbing,10,290.3067737918129,0.0017161669675260782
Genetic Algorithm,10,290.30677379181276,0.2774517919169739
Genetic Algorithm,10,290.30677379181276,0.26438945799600333
Genetic Algorithm,10,290.3067737918128,0.26517204102128744
Genetic Algorithm,10,290.30677379181276,0.26605441700667143
Genetic Algorithm,10,290.3067737918128,0.270601624972187
Genetic Algorithm,10,290.30677379181276,0.2696174159646034
Genetic Algorithm,10,290.30677379181276,0.26748470799066126
Genetic Algorithm,10,290.30677379181276,0.2684102919884026
Genetic Algorithm,10,290.30677379181276,0.2676245830953121
Genetic Algorithm,10,290.3067737918128,0.26904225000180304
Hill Climbing,20,473.814607399382,0.00822529208380729
Hill Climbing,20,470.76547944718277,0.0069246250204741955
Hill Climbing,20,422.94885301698855,0.009593875030986965
Hill Climbing,20,504.0230742824538,0.009287709021009505
Hill Climbing,20,466.65553358927144,0.009644625009968877
Hill Climbing,20,468.78817904215754,0.007105417083948851
Hill Climbing,20,453.9929040537391,0.009068832965567708
Hill Climbing,20,500.95936794853947,0.008683750056661665
Hill Climbing,20,422.9488530169885,0.01014224998652935
Hill Climbing,20,451.05675685550716,0.009145792108029127
Genetic Algorithm,20,444.53420266828044,0.45827791607007384
Genetic Algorithm,20,386.42968948346993,0.4546695000026375
Genetic Algorithm,20,389.1347553457029,0.45586395799182355
Genetic Algorithm,20,444.96906730764823,0.45573091704864055
Genetic Algorithm,20,388.08790934011984,0.4554610410705209
Genetic Algorithm,20,392.13960396903985,0.4685907500097528
Genetic Algorithm,20,388.19775804964974,0.4630593329202384
Genetic Algorithm,20,386.42968948346993,0.4545766250230372
Genetic Algorithm,20,386.42968948346993,0.45595470897387713
Genetic Algorithm,20,386.42968948346993,0.4621188750024885
Hill Climbing,30,679.0092461990869,0.06613841699436307
Hill Climbing,30,576.9744649013178,0.05216200009454042
Hill Climbing,30,579.1335552636475,0.04132395901251584
Hill Climbing,30,648.3788953037558,0.0430016660830006
Hill Climbing,30,527.3547634773032,0.03781491704285145
Hill Climbing,30,571.5395539124174,0.044831209001131356
Hill Climbing,30,585.4204711424406,0.05596333299763501
Hill Climbing,30,549.1145775176749,0.05186133401002735
Hill Climbing,30,518.5662094664743,0.04847350006457418
Hill Climbing,30,583.7287940728673,0.04774970898870379
Genetic Algorithm,30,607.934518043672,0.6701220410177484
Genetic Algorithm,30,607.7041623554218,0.6599225829122588
Genetic Algorithm,30,579.7481224950855,0.6657693330198526
Genetic Algorithm,30,605.4741132879757,0.6633337920065969
Genetic Algorithm,30,556.9577260356107,0.6646922079380602
Genetic Algorithm,30,598.8031071617804,0.6575765000889078
Genetic Algorithm,30,623.0347501473451,0.6620436660014093
Genetic Algorithm,30,566.8586934993031,0.6604119170224294
Genetic Algorithm,30,618.7228199303765,0.655312417075038
Genetic Algorithm,30,569.3943777618613,0.6667285000439733
Hill Climbing,40,677.8950687515935,0.16749858402181417
Hill Climbing,40,610.1691017720126,0.16361991595476866
Hill Climbing,40,676.7271906576734,0.1633133329451084
Hill Climbing,40,566.0985356941649,0.23737574997358024
Hill Climbing,40,635.5140281022408,0.18827837507706136
Hill Climbing,40,738.8733467042014,0.14962683396879584
Hill Climbing,40,607.5608622354748,0.22313345898874104
Hill Climbing,40,721.8446528123233,0.1499613340711221
Hill Climbing,40,745.5734552560235,0.14534658298362046
Hill Climbing,40,664.1271850649861,0.20423124998342246
Genetic Algorithm,40,762.7871641226816,0.8807507919846103
Genetic Algorithm,40,864.3337345277015,0.8804872919572517
Genetic Algorithm,40,806.4142249237577,0.8862370830029249
Genetic Algorithm,40,865.516569038635,0.8798175840638578
Genetic Algorithm,40,946.6145702085753,0.8896429580636322
Genetic Algorithm,40,780.5282882376935,0.8857821250567213
Genetic Algorithm,40,887.0589629266607,0.8902734590228647
Genetic Algorithm,40,788.4641622569288,0.8913980419747531
Genetic Algorithm,40,894.3760391692686,0.8888505409704521
Genetic Algorithm,40,842.0106907690408,0.8944669580087066
Hill Climbing,50,757.7519060416915,0.43530804093461484
Hill Climbing,50,682.8315199538015,0.499642625101842
Hill Climbing,50,972.7814770230978,0.47378462506458163
Hill Climbing,50,746.2335422526077,0.38349987496621907
Hill Climbing,50,749.9805697191979,0.43416266702115536
Hill Climbing,50,862.4008861916842,0.43739345809444785
Hill Climbing,50,757.4599579971692,0.3589520420646295
Hill Climbing,50,957.4590242108552,0.37451633403543383
Hill Climbing,50,770.0214140460076,0.31721533404197544
Hill Climbing,50,1004.1397720551358,0.29986512497998774
Genetic Algorithm,50,1175.3103424808917,1.141071958001703
Genetic Algorithm,50,1213.7205779572448,1.1289559580618516
Genetic Algorithm,50,1142.978577719603,1.1290127920219675
Genetic Algorithm,50,1124.6756791298283,1.130872540990822
Genetic Algorithm,50,1298.2466670016345,1.1300597080262378
Genetic Algorithm,50,1147.0389375754175,1.12972216703929
Genetic Algorithm,50,1151.1117576335616,1.132461166009307
Genetic Algorithm,50,1195.596215030926,1.1303845419315621
Genetic Algorithm,50,1109.440816391765,1.1285825420636684
Genetic Algorithm,50,1183.176625668822,1.1294912919402122
